sample,C1,C2,C3,285_amp
Res-025,36092.999785464206,7138.88397374518,5062.167444613852,17587.237074879034
Res-025,32626.359479703828,8704.71827396635,4758.929774695275,18539.689932411107
Res-025,41869.64391983405,8803.780570498799,5665.531970733273,18648.82113519313
Res-025,34614.96576040446,8463.469589714556,4781.707925727296,19901.508327046817
Res-026,45634.90670272952,7384.800934928659,4793.263691016403,21542.508442342754
Res-026,40043.0376104044,7415.831219326208,4639.779014603551,20547.81355913179
Res-026,35200.590986994575,7606.781125768513,3254.128474516893,20371.476915897394
Res-026,36825.969862930295,8680.473688904567,4335.582138359495,20548.06806816593
Res-026,37155.21275249323,8207.191971920658,5633.926959680569,19905.65576917948
Res-026,34679.14476479317,8504.035910128494,4769.509366231439,20216.027453910094
Res-026,36200.32333429002,10493.036814274159,6786.309326045625,21247.299009712202
Res-026,36358.89124370406,9253.871169567774,6463.086196117906,20816.506437141754
Res-026,37940.08109225811,7390.174178056875,2782.011410351615,20524.768995298327
Res-026,41604.423018926085,8175.205321647727,5701.361433907426,21475.274460737433
Res-026,31873.98354037585,5324.941327100596,2592.4251511599828,14074.479498549881
Res-026,40014.86001042886,8366.137042359334,4932.986029215769,21354.890353795476
Res-026,36663.150722537895,9159.263603564228,5816.784417800313,21956.60264709648
Res-026,42956.101024282936,7854.970183962529,5159.002320620498,21175.977279439503
Res-026,38386.19775781149,7627.342893223865,4171.836774202742,20979.548474555486
Res-026,46968.462377228185,7838.591223552349,5212.039838053961,20125.349643503323
Res-026,46344.20263044392,6164.524291363271,3335.015040406564,20409.35738046431
Res-026,43622.22334897137,6755.208642905685,3635.470342322478,20653.01568542536
Res-026,38747.446458875515,9213.55959487835,6032.362771357658,22204.527968442453
Res-026,31628.7210238575,8864.507924477572,4774.515687866465,21780.450820098158
Res-026,36613.75711083714,8589.732069408385,5215.686248227768,21043.603888721824
Res-027,39846.01356737949,9665.677854708843,6047.798935038262,20885.509522366126
Res-027,41189.24243795563,8664.821728787687,5389.716909331987,20085.969142484588
Res-027,37918.27632998457,8311.470055588632,4089.169613141763,19303.39624961654
Res-027,37428.03876183309,9346.06040725594,4364.561261738231,19674.911881303182
Res-027,45713.26138624876,9474.363305006505,6040.919533545352,20025.5114396958
Res-027,35676.2922575915,9845.321540857822,5469.117803358347,20387.99373302907
Res-027,37000.34368642191,8024.921603566604,4558.143769706202,20879.772560734513
Res-027,40235.24473523166,10255.336017950256,6466.534766325083,20394.493469586836
Res-027,33744.38509318179,9052.640494000563,4898.654995477703,19663.4542073096
Res-027,37551.30717547628,9396.811503581404,5358.054485149477,20112.365560113656
Res-027,21330.777357386753,5822.3588441652655,5237.806254276833,11057.537438893898
Res-027,38889.58243508656,7560.256169214519,4356.097275726167,20619.305947123445
Res-027,36086.02421795171,8514.683753679808,5585.303313959677,21562.905202316957
Res-027,37214.047149292106,8348.578013739338,3479.2862267929436,20819.23057798345
Res-027,37213.55188235354,8718.74731184219,3497.776558281096,21020.236315315276
Res-027,36561.902527154634,8962.689313163351,5418.950421720581,20940.606918890102
Res-027,32175.41033229132,8671.55177425305,4472.73069553722,20547.61238601897
Res-027,37199.538858778695,7372.36187708934,3908.959047282945,20796.244084323742
Res-027,39743.45379653687,8026.289343154857,5099.4495472411745,20918.291882976177
Res-027,38006.75789189523,9724.94378487232,5912.024116316861,21493.536711931447
Res-027,36418.5279785878,8828.46004884863,4554.582620275305,20872.170662933975
ResA_008,776.6491785243801,170.52624878832745,50.20973281588681,394.2271694380398
ResA_008,646.8225090539015,181.44607077941188,49.808873248124996,425.5248629167319
ResA_008,679.8983784306323,181.51495101426107,51.975320047858986,419.7151224374321
ResA_008,644.9924234708249,187.2068073893729,65.96345730747188,401.4691598128928
ResA_008,590.819879298099,175.34582036349278,42.70963760433233,426.142221560791
ResA_008,634.6485006414326,171.10473393699976,67.11083094801396,391.2514235708437
ResA_008,694.1965743911816,195.17867672069755,87.64832992724791,384.93625941899893
ResA_008,729.1025947986362,169.24462814538188,62.455856153498246,376.8783352081148
ResA_008,631.90719734596,173.82362704765342,36.55158870019548,428.91492583757736
ResA_008,683.7689288663462,104.7141862109413,1.1102230246251565e-07,419.91869979448165
