sample,NbO,NbO2,Nb2O5,Nb,202_amp,207_amp
Res-025,5836.991080088172,18234.22335367475,387298.6498728098,41945.718143681646,28413.729280241176,283462.17287129
Res-025,6243.161103258732,18292.07476550243,401499.37921206414,41334.801529187,28525.416937201655,291307.29846099875
Res-025,6213.245678843294,18437.928561487737,404836.882566445,41516.359997472166,29694.45443627055,299059.93380809226
Res-025,5811.195288751847,17672.81460723913,409693.3395727131,41261.31562182944,28564.18491905744,300493.6565187125
Res-025,6892.832077609601,18959.53748159984,398645.8565503465,42874.376523913685,30368.995034932996,292827.20275412424
Res-025,6129.097511908821,16364.169854010679,343845.2859919605,37537.78774882977,26300.54787682352,251118.19388177205
Res-025,4963.99292609917,15968.538381538889,346559.9696924809,35527.20683045407,24892.439554593704,250771.92134649146
Res-025,6546.081251335157,18376.436307032673,393395.63261998777,42877.45054739056,30616.822458054794,286801.699364257
Res-025,6329.325449028201,19185.34434713903,404068.37900206883,44247.86225224297,30849.734743126864,296045.76886222855
Res-025,2157.987194273403,8459.374644886886,127617.00461264624,12145.921777317326,8753.38630304375,91461.774997849
Res-025,6556.445110050824,19033.073329510764,426063.76976859814,42569.58492631524,29737.83425244587,308596.9805684468
Res-025,6276.60809437991,18153.22064185887,421407.99648415437,42766.841060475905,29451.20972173679,303031.86795526533
Res-025,6450.101829202915,18728.252615896057,423558.9581107491,42919.106155577814,30044.014313383334,308490.53703607793
Res-025,6441.22606546782,19067.518126414383,427183.3660033547,42800.32501775888,29870.875307012386,309664.98444996245
Res-025,7821.625165993495,17378.262410050473,414497.05465673225,42496.61200712851,29013.328948486884,302266.2344787445
Res-025,5737.946500661284,18058.497641137983,377089.90071253944,39452.98444685774,27898.629302052617,270859.25194313383
Res-025,6709.15790274007,17275.52838515223,396913.01624683983,43955.259268071975,30524.94434455127,288966.1831300961
Res-025,7505.767461946089,19488.489012953192,408222.77929881465,43990.135727303146,31004.67209431527,300975.2587336789
Res-025,6684.129722156485,17188.039481863536,354937.3031958275,38322.54179788663,26247.495564274825,255171.33098024596
Res-025,7544.442632123616,20624.67002528212,412000.0460587414,45638.89415500677,31423.240602861337,299827.54891651316
Res-026,11303.590224109872,23653.16379782101,408727.673351017,45571.6963776237,34936.61535881909,299756.46422634285
Res-026,10479.292126663875,22905.299760345166,408526.3678764162,44475.092067905454,35462.45942815168,299726.2219583195
Res-026,12137.151657320988,23076.34663606395,412522.93843369203,41598.07677060978,34302.79499378054,300734.70643547416
Res-026,9145.72801147262,20836.136438329155,411650.46192173596,45241.46625552839,34914.83806395614,296010.137587791
Res-026,11371.329287912513,18607.22910712598,409590.39039301313,41695.945353323325,33604.13289157043,293116.9381871258
Res-026,10157.629415807889,21765.73978618368,415397.10119742336,45943.77558330809,34706.06966658833,299472.6100788229
Res-026,11882.862117285065,23252.307128518445,408082.77830492734,43121.12403518253,33957.3587594385,295807.3941148775
Res-026,12404.233334317727,24194.65842334878,409826.517780717,42678.53096159846,34497.69823050809,297147.6507843152
